Study_ID,DOI,Journal,Publication_Year,Study_Design,First_Author_Affiliation_Country,Study_Data_Geography,Population,Cases_N,Controls_N,Total_N,Comparator,Clinical_Task,Cancer,Reference_Standard,Data_Family,Omics_Layer,Specimen,Platform,Raw_Features,Final_Features,SVM_Role,SVM_Kernel,SVM_Hyperparameters,Feature_Selection,Feature_Selection_Timing,Other_Models,Training_N,Internal_Validation_N,External_Validation_N,Validation_Method,Validation_Category,Split_Independence,Reported_Key_SVM_Performance,Best_Model,SVM_vs_Others,Calibration,Decision_Curve_or_Utility,Leakage_Overfitting_Concerns,Demographics_or_Fairness,Clinical_Comparator,Deployment_Status,Data_or_Code_Availability,Study_Notes,Evidence_Locations
S001,10.3389/fonc.2022.790645,Frontiers in Oncology,2022,Prospective case-control diagnostic study,United States,United States,10 untreated lung-cancer cases and 20 controls,10,20,30,Healthy controls,Cancer detection,Lung cancer,Clinical cancer diagnosis; details in supplementary table,Molecular omics,Epigenomics,Blood cfDNA,Illumina MethylationEPIC,Genome-wide CpGs,"5, 10, or 20 CpGs",One of several final classifiers,NR,Caret optimization; exact C/gamma not reported,GWAS filtering; AI variable importance; PCA,Timing relative to resampling unclear,RF; GLM; PAM; LDA; deep learning,24,6,0,"Repeated 80/20 split, 10-fold CV, bootstrap",Internal only,Participant-level split; repeated random splits,AUC=1.00 (0.90-1.00); sensitivity=0.94; specificity=1.00,Several models tied at AUC 1.00; DL sensitivity/specificity 1.00,SVM tied on AUC,No,No,n=30; 10 cases; age imbalance; possible pre-resampling marker selection; no external validation,All participants Caucasian; cases younger than controls,None,Retrospective model evaluation only,NR,Use cautious wording for perfect AUC.,Methods pp.3-4; Tables 1-2 pp.4-5
S002,10.1038/s41598-018-23585-y,Scientific Reports,2018,Retrospective multicohort case-control diagnostic study,Germany,Germany/European source cohorts,Discovery 1420; independent validation 635,969,1086,2055,"Healthy, benign, and inflammatory controls",Cancer detection,Five solid-tumor types,Previously established clinical diagnoses in source cohorts,Molecular omics,Proteomics,Urine,CE-MS,Urinary peptide profiles,193 peptides,Primary final classifier,RBF-type SVM parameters reported,C=4.096; gamma=0.0064; epsilon=0.001,Repeated statistical filtering with BH correction,Performed in discovery set,Logistic-regression nomograms,1420,NA,635,Independent cohort validation,External only,Independent validation cohort,AUC=0.82 (0.79-0.85); sensitivity=0.69; specificity=0.81,Age+SVM-score nomogram AUC=0.85,Clinical-variable nomogram slightly improved AUC,No,No,Heterogeneous cancers and controls; case-control spectrum,Age and sex reported by cancer subgroup; fairness not assessed,Age and selected clinical markers,External validation only,NR,Useful for external-validation subgroup.,Results p.3; Tables 1-2 pp.5-6; Methods p.9
S003,NR,Conference/proceedings paper,2005,Secondary analysis of public gene-expression datasets,Italy,Dataset origins NR,Colon diagnostic n=62; medulloblastoma prognostic n=60,40,22,122,Normal tissue; survivors vs treatment failures,Diagnostic and prognostic,Colon adenocarcinoma; medulloblastoma,Dataset labels from original studies,Molecular omics,Transcriptomics,Tissue gene expression,DNA microarray,2000,Random subspace sizes varied,Component of ensemble or hybrid model,Linear,NR,Random gene-subspace sampling,Within CV unclear,Single linear SVM,NR,NA,0,5-fold cross-validation,Internal only,Sample-level CV; independence not described,Single SVM test error 17.74% +/- 10.87%; ensemble better but exact value NR,Random-subspace SVM ensemble,Ensemble better than single SVM,No,No,Small n; p>>n; no external validation; mixed diagnostic/prognostic tasks,NR,None,Method-development only,NR,Do not pool prognostic medulloblastoma results with diagnostic studies.,Experimental results pp.3-4
S004,10.1021/jasms.3c00403,Journal of the American Society for Mass Spectrometry,2024,Secondary analysis of two published datasets,United States,RCC NR; OC South Korea,RCC 82/174; OC 208/117,290,291,581,Healthy controls; other gynecological cancers,Multiple tasks,Renal cell carcinoma; ovarian cancer,Source-dataset diagnostic labels,Molecular omics,Metabolomics,Urine; serum,Published metabolomics/lipidomics datasets,7,7,One of several final classifiers,NR for standalone SVM,Scikit-learn default parameters,Predefined biomarker panels; SMOTE for OC training,Data split before autoscaling/SMOTE,RF; kNN; Auto-sklearn,RCC 80%; OC 227,RCC 20%; OC 98,0,Held-out same-dataset tests; 5-fold CV on training,Internal only,Same source datasets; no external cohort,RCC AUC 0.93; OC AUC 0.82,AutoML AUC 0.97 RCC and 0.85 OC,Alternative model performed better,No,No,No external validation; standalone SVM not tuned; small-to-moderate datasets,OC Korean descent noted; subgroup fairness not assessed,None,Retrospective model development only,Public code and data on GitHub reported,Correct earlier false label of external validation.,Methods pp.3-4; Table 1 p.5
S005,NR,Journal of Experimental Therapeutics and Oncology,2007,Prospective sample collection with case-control model development,Brazil,Brazil,30 Hodgkin lymphoma cases and 30 healthy donors,30,30,60,Healthy controls,Cancer detection,Hodgkin lymphoma,Histopathology/WHO classification,Molecular omics,Proteomics,Serum,ESI-QTOF mass spectrometry,400-1200 m/z spectra,8 m/z peaks,Primary final classifier,NR,SVMlight; exact parameters NR,SVM-RFE,Likely before LOO; nesting not demonstrated,None,LOO,LOO,0,LOOCV; duplicate-spectrum reproducibility,Internal only,Duplicate spectra are repeated measurements from same participants,"Accuracy, sensitivity, and specificity all 1.00 in LOO",SVM-RFE,No alternative model comparison,No,No,Potential feature-selection leakage; no external participants; perfect performance,Basic clinical characteristics limited; fairness not assessed,None,Method-development only,Scripts/database available on request,"Treat duplicate spectra as reproducibility, not external validation.",Methods pp.3-4; Discussion p.7
S006,10.1158/1940-6207.CAPR-13-0407,Cancer Prevention Research,2014,Matched case-control validation/model-development study,United States,United States,24 colon-cancer patients and 24 matched controls,24,24,48,Non-cancer controls,Cancer detection,Colon cancer,Cancer diagnosis and colonoscopy/pathology context,Molecular omics,Epigenomics,Normal colon mucosa,Custom Illumina Veracode array,96,18,Primary final classifier,NR,NR,SVM-RFE,Repeated CV within 40 training samples,None,40,8,0,Repeated 10-fold CV plus held-out 20% test,Internal only,Held-out participants from same cohort,"Test accuracy 1.00; training sensitivity 0.96, specificity 1.00",18-CpG SVM,No alternative classifier comparison,No,No,Small test n=8; discovery-informed candidates; prior cohort not a locked-model external validation,Age/sex matching reported; no fairness analysis,None,Model-development only,NR,Earlier Infinium results should not be counted as external validation of the same model.,Methods pp.3-4; Results pp.5-6
S008,10.14309/ctg.0000000000000548,Clinical and Translational Gastroenterology,2023,Retrospective nested case-control study,United States,United States,Prediagnostic CT scans from KPSC; non-CP and CP groups,347,694,1041,Matched cancer-free controls,Early detection or screening,Pancreatic ductal adenocarcinoma,Cancer registry/histology codes,Imaging-derived data,Not conventional omics,CT images,CT radiomics,111,NCA: 5/2 QIFs; PCA: 19/12 components,Primary final classifier,Gaussian; linear; sigmoid,Two hyperparameters tuned by 5-fold CV,NCA and PCA,Training data only,None,519,522,0,Separate 50/50 internal splits; 5-fold tuning,Internal only,No overlap between train/validation; same healthcare system,Non-CP PCA/Gaussian AUC 0.988; CP AUC 1.00,PCA-based conditional SVM,No alternative classifier comparison,No,Manual radiologist comparison,No external validation; CP subgroup smaller; perfect results,Race/ethnicity and sex reported; no subgroup fairness metrics,Blinded expert radiologist review,Internal validation only,NR,Useful omics-adjacent subgroup; avoid claiming clinical deployment.,Methods pp.2-3; Table 2 p.7; limitations p.9
S009,10.1016/j.jpha.2020.11.009,Journal of Pharmaceutical Analysis,2021,Single-center case-control diagnostic study,China,China,88 ESCC cases and 52 healthy controls,88,52,140,Healthy controls,Cancer detection,Esophageal squamous cell carcinoma,Histopathologic confirmation,Molecular omics,Metabolomics,Plasma,UPLC-Q Exactive Orbitrap LC-MS,Untargeted ions; 12 annotated metabolites,Ranked metabolite subsets,One of several final classifiers,Linear,cost=3; 16 support vectors,Differential-metabolite filtering and model importance ranking,Performed in training set,PLS; RF; GBM,100,40,0,Repeated 5-fold CV for training; held-out test,Internal only,Same-center held-out participants,AUC 0.979; accuracy 0.980; sensitivity 0.960; specificity 1.000,SVM highest accuracy; GBM AUC 1.000,SVM performed best on accuracy,No,No,No external validation; small single-center cohort,Age/sex matching reported; no subgroup fairness metrics,Single-metabolite ROC models,Internal test only,NR,Separate diagnostic results from survival analysis.,Methods pp.2-3; Table 3 p.6
S010,10.1007/s11306-019-1609-z,Metabolomics,2019,Prospective diagnostic study with random internal split,Taiwan,Taiwan,54 eligible women from 100 screened,21,33,54,Benign and non-cancer gynecological controls,Cancer detection,Endometrial cancer,Final pathology,Molecular omics,Metabolomics,Cervicovaginal fluid,600-MHz proton NMR,29,3,One of several final classifiers,NR,NR,"PLS-DA/VIP, MCCV, common top features across methods",Whether all feature selection was confined to training is unclear,RF; PLS-DA; logistic regression; ANN,45,9,0,Random 45/9 split; LOOCV/MCCV in development,Internal only,Same prospective cohort,Test accuracy 0.78; sensitivity 0.75; specificity 0.80; test AUC NR,RF and SVM tied on accuracy; RF training AUC higher,SVM comparable,No,No,Test n=9; very wide CIs; possible feature-selection optimism,Age and clinical factors reported; no subgroup fairness metrics,None,Internal test only,NR,"Correct earlier classification: this is molecular metabolomics, not omics-adjacent.",Methods pp.2-3; Table 4 p.8
S012,10.1364/OE.26.028661,Optics Express,2018,Single-center case-control spectroscopy model-development study,China,China,60 nasopharyngeal carcinoma cases and 100 healthy controls,60,100,160,Healthy controls,Cancer detection,Nasopharyngeal carcinoma,Clinical/pathological diagnosis as reported; detail limited,Spectroscopy-derived data,Not conventional omics,Serum,Visible-near-infrared hyperspectral imaging,950 spectral bands,10 weighted principal components,Primary final classifier,Linear,C=32 selected by grid search with five-fold CV,PCA and class-specific weighted PCA,Timing relative to repeated train-test splitting is unclear,SID; SAM; ANN; PCA-SVM variants,80,80,0,Repeated random 50/50 split 500 times; five-fold CV tuning,Internal only,Same-cohort random sample split,WPCA-SVM AUC=0.982; accuracy=0.9915; sensitivity=0.9879; specificity=0.9936,WPCA-SVM,SVM variant performed best,No,No,Feature weighting/selection may not have been nested in every split; no external validation,Demographic details limited; fairness not assessed,No clinical comparator,Method-development only,MATLAB/LIBSVM reported; data/code NR,Treat as spectroscopy/omics-adjacent rather than molecular omics.,Methods PDF pp.2-5; Tables 2-4 PDF pp.7-9
