Study_ID,Cancer_or_Task,SVM_Model,Reported_Metric,Reported_Value,Reported_Confidence_Interval,Dataset_or_Cohort,Dataset_Level,Validation_Category,Evidence_Location,Notes
S001,Lung cancer; 10 intragenic CpGs,SVM,AUC,1,0.90-1.00,Repeated 80/20 validation,Internal validation,Internal only,"Table 2, PDF p.5",Main 10-marker model.
S001,Lung cancer; 10 intragenic CpGs,SVM,Sensitivity,0.94,NR,Repeated 80/20 validation,Internal validation,Internal only,"Table 2, PDF p.5",
S001,Lung cancer; 10 intragenic CpGs,SVM,Specificity,1,NR,Repeated 80/20 validation,Internal validation,Internal only,"Table 2, PDF p.5",
S002,General solid-tumor detection,SVM peptide classifier,AUC,0.82,0.79-0.85,Independent cohort n=635,External validation,External only,"Results, PDF p.3",Predetermined cutoff -0.07.
S002,General solid-tumor detection,SVM peptide classifier,Sensitivity,0.69,NR,Independent cohort n=635,External validation,External only,"Results, PDF p.3",
S002,General solid-tumor detection,SVM peptide classifier,Specificity,0.81,NR,Independent cohort n=635,External validation,External only,"Results, PDF p.3",
S003,Colon adenocarcinoma vs normal tissue,Single linear SVM,Test error,0.1774,SD 0.1087,Five-fold CV,Internal validation,Internal only,"Experimental results, PDF p.3","Random-subspace ensemble performed better, but exact numeric minimum was not reported."
S004,Renal cell carcinoma vs healthy controls,Standalone SVM,AUC,0.93,NR,Held-out RCC test set,Internal test,Internal only,"Table 1, PDF p.5",AutoML AUC was 0.97.
S004,Renal cell carcinoma vs healthy controls,Standalone SVM,Accuracy,0.9,NR,Held-out RCC test set,Internal test,Internal only,"Table 1, PDF p.5",
S004,Renal cell carcinoma vs healthy controls,Standalone SVM,Sensitivity,0.83,NR,Held-out RCC test set,Internal test,Internal only,"Table 1, PDF p.5",
S004,Renal cell carcinoma vs healthy controls,Standalone SVM,Specificity,0.94,NR,Held-out RCC test set,Internal test,Internal only,"Table 1, PDF p.5",
S004,Ovarian cancer vs other gynecological cancers,Standalone SVM,AUC,0.82,NR,Held-out OC test set,Internal test,Internal only,"Table 1, PDF p.5",AutoML and RF AUC were 0.85.
S004,Ovarian cancer vs other gynecological cancers,Standalone SVM,Accuracy,0.73,NR,Held-out OC test set,Internal test,Internal only,"Table 1, PDF p.5",
S004,Ovarian cancer vs other gynecological cancers,Standalone SVM,Sensitivity,0.72,NR,Held-out OC test set,Internal test,Internal only,"Table 1, PDF p.5",
S004,Ovarian cancer vs other gynecological cancers,Standalone SVM,Specificity,0.76,NR,Held-out OC test set,Internal test,Internal only,"Table 1, PDF p.5",
S005,Hodgkin lymphoma vs healthy controls,SVM-RFE classifier,Accuracy,1,NR,Leave-one-out CV on 60 participants,Internal validation,Internal only,"Abstract and Methods/Results, PDF pp.1,3-4",Feature selection may not have been nested within LOO.
S005,Hodgkin lymphoma vs healthy controls,SVM-RFE classifier,Sensitivity,1,NR,Leave-one-out CV on 60 participants,Internal validation,Internal only,"Abstract and Results, PDF pp.1,4",All 30 cases were correctly classified.
S005,Hodgkin lymphoma vs healthy controls,SVM-RFE classifier,Specificity,1,NR,Leave-one-out CV on 60 participants,Internal validation,Internal only,"Abstract and Results, PDF pp.1,4",All 30 controls were correctly classified.
S006,Colon cancer vs non-cancer; 18-CpG model,SVM-RFE,Sensitivity,0.96,NR,40-sample training set,Training,Internal only,"Results, PDF p.5",One cancer case misclassified.
S006,Colon cancer vs non-cancer; 18-CpG model,SVM-RFE,Specificity,1,NR,40-sample training set,Training,Internal only,"Results, PDF p.5",
S006,Colon cancer vs non-cancer; 18-CpG model,SVM-RFE,Accuracy,1,NR,Held-out test set n=8,Internal test,Internal only,"Results, PDF p.5",All eight samples correctly classified.
S008,PDAC without chronic pancreatitis; PCA/Gaussian,Conditional SVM,AUC,0.988,0.975-1.000,DS2 n=417,Internal validation,Internal only,"Table 2b, PDF p.7",
S008,PDAC without chronic pancreatitis; PCA/Gaussian,Conditional SVM,Sensitivity,0.899,0.849-0.949,DS2 n=417,Internal validation,Internal only,"Table 2b, PDF p.7",
S008,PDAC without chronic pancreatitis; PCA/Gaussian,Conditional SVM,Specificity,0.975,0.956-0.993,DS2 n=417,Internal validation,Internal only,"Table 2b, PDF p.7",
S008,PDAC without chronic pancreatitis; PCA/Gaussian,Conditional SVM,Accuracy,0.95,0.929-0.971,DS2 n=417,Internal validation,Internal only,"Table 2b, PDF p.7",
S008,PDAC with chronic pancreatitis,Conditional SVM,AUC,1,1.00-1.00,DS4 validation set,Internal validation,Internal only,"Results, PDF p.8",Small subgroup; authors warn of overestimation.
S008,PDAC with chronic pancreatitis,Conditional SVM,Accuracy,1,1.00-1.00,DS4 validation set,Internal validation,Internal only,"Results, PDF p.8",
S009,ESCC vs healthy controls,Linear SVM; cost=3,AUC,0.979,0.935-1.000,Held-out test set n=40,Internal test,Internal only,"Results/Table 3, PDF p.6",
S009,ESCC vs healthy controls,Linear SVM; cost=3,Accuracy,0.98,0.868-0.999,Held-out test set n=40,Internal test,Internal only,"Table 3, PDF p.6",
S009,ESCC vs healthy controls,Linear SVM; cost=3,Sensitivity,0.96,NR,Held-out test set n=40,Internal test,Internal only,"Table 3, PDF p.6",
S009,ESCC vs healthy controls,Linear SVM; cost=3,Specificity,1,NR,Held-out test set n=40,Internal test,Internal only,"Table 3, PDF p.6",
S010,Endometrial cancer vs non-EC,SVM; 3-metabolite panel,AUC,0.88,0.76-0.97,Training dataset n=45,Training,Internal only,"Table 4, PDF p.8",Test-set AUC was not reported.
S010,Endometrial cancer vs non-EC,SVM; 3-metabolite panel,Accuracy,0.78,0.40-0.97,Held-out test set n=9,Internal test,Internal only,"Table 4, PDF p.8",
S010,Endometrial cancer vs non-EC,SVM; 3-metabolite panel,Sensitivity,0.75,0.19-0.99,Held-out test set n=9,Internal test,Internal only,"Table 4, PDF p.8",
S010,Endometrial cancer vs non-EC,SVM; 3-metabolite panel,Specificity,0.8,0.28-1.00,Held-out test set n=9,Internal test,Internal only,"Table 4, PDF p.8",
S012,Nasopharyngeal carcinoma vs healthy controls,Conventional SVM,AUC,0.968,NR,Repeated 50/50 test sets,Internal test,Internal only,"Table 4, PDF p.8",Linear kernel; C=32.
S012,Nasopharyngeal carcinoma vs healthy controls,Conventional SVM,Accuracy,0.9849,NR,Repeated 50/50 test sets,Internal test,Internal only,"Table 4, PDF p.8",
S012,Nasopharyngeal carcinoma vs healthy controls,Conventional SVM,Sensitivity,0.9791,NR,Repeated 50/50 test sets,Internal test,Internal only,"Table 4, PDF p.8",
S012,Nasopharyngeal carcinoma vs healthy controls,Conventional SVM,Specificity,0.9883,NR,Repeated 50/50 test sets,Internal test,Internal only,"Table 4, PDF p.8",
S012,Nasopharyngeal carcinoma vs healthy controls,PCA-SVM,AUC,0.975,NR,Repeated 50/50 test sets,Internal test,Internal only,"Table 4, PDF p.8",
S012,Nasopharyngeal carcinoma vs healthy controls,PCA-SVM,Accuracy,0.9905,NR,Repeated 50/50 test sets,Internal test,Internal only,"Table 4, PDF p.8",
S012,Nasopharyngeal carcinoma vs healthy controls,PCA-SVM,Sensitivity,0.9759,NR,Repeated 50/50 test sets,Internal test,Internal only,"Table 4, PDF p.8",
S012,Nasopharyngeal carcinoma vs healthy controls,PCA-SVM,Specificity,0.9993,NR,Repeated 50/50 test sets,Internal test,Internal only,"Table 4, PDF p.8",
S012,Nasopharyngeal carcinoma vs healthy controls,WPCA-SVM,AUC,0.982,NR,Repeated 50/50 test sets,Internal test,Internal only,"Table 4, PDF p.8",The text contains minor inconsistent rounded AUC values; table value retained.
S012,Nasopharyngeal carcinoma vs healthy controls,WPCA-SVM,Accuracy,0.9915,NR,Repeated 50/50 test sets,Internal test,Internal only,"Table 4, PDF p.8",
S012,Nasopharyngeal carcinoma vs healthy controls,WPCA-SVM,Sensitivity,0.9879,NR,Repeated 50/50 test sets,Internal test,Internal only,"Table 4, PDF p.8",
S012,Nasopharyngeal carcinoma vs healthy controls,WPCA-SVM,Specificity,0.9936,NR,Repeated 50/50 test sets,Internal test,Internal only,"Table 4, PDF p.8",
S013,CRC tissue vs normal tissue,SVM,AUC,0.878,NR,GSE110224,Apparent/same-data,No validation,"Results, PDF pp.4-5",Feature selection and evaluation used the same dataset.
S013,CRC serum vs healthy serum,SVM,AUC,0.743,NR,Protein-array cohort,Apparent/same-data,No validation,"Results, PDF pp.4-5",No resampling or independent validation reported.
S014,Colorectal cancer vs healthy controls,Sigmoid-kernel SVM,AUC,0.933,NR,Random 7:3 pooled-cohort split,Internal test,Internal only,"Results, PDF p.6",Six proteins may have been selected before splitting.
